Park,Unit Code,Park Type,Region,State,Year,Recreation Visits
Fort Washington Park,FOWA,Park (Other),National Capital ,MD,2019,423868
Fossil Butte NM,FOBU,National Monument,Intermountain ,WY,2019,20554
Franklin Delano Roosevelt MEM,FRDE,National Memorial,National Capital ,DC,2019,3303573
Frederick Douglass NHS,FRDO,National Historic Site,National Capital ,DC,2019,61063
Frederick Law Olmsted NHS,FRLA,National Historic Site,Northeast ,MA,2019,7791
Fredericksburg & Spotsylvania NMP,FRSP,National Military Park,Northeast ,VA,2019,906800
Friendship Hill NHS,FRHI,National Historic Site,Northeast ,PA,2019,34159
Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2019,10518
Gateway Arch NP,JEFF,National Park,Midwest ,MO,2019,2055309
Gateway NRA,GATE,National Recreation Area,Northeast ,NY,2019,9405622
Gauley River NRA,GARI,National Recreation Area,Northeast ,WV,2019,119282
General Grant NMEM,GEGR,National Memorial,Northeast ,NY,2019,113852
George Rogers Clark NHP,GERO,National Historical Park,Midwest ,IN,2019,140130
George Washington Birthplace NM,GEWA,National Monument,Northeast ,VA,2019,139666
George Washington Carver NM,GWCA,National Monument,Midwest ,MO,2019,49553
George Washington MEM PKWY,GWMP,National Parkway,National Capital ,VA,2019,7487265
Gettysburg NMP,GETT,National Military Park,Northeast ,PA,2019,925117
Gila Cliff Dwellings NM,GICL,National Monument,Intermountain ,NM,2019,66614
Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2019,672087
Glacier NP,GLAC,National Park,Intermountain ,MT,2019,3049839
Glen Canyon NRA,GLCA,National Recreation Area,Intermountain ,UT,2019,4330563
Golden Gate NRA,GOGA,National Recreation Area,Pacific West ,CA,2019,15002227
Golden Spike NHP,GOSP,National Historical Park,Intermountain ,UT,2019,108154
Governors Island NM,GOIS,National Monument,Northeast ,NY,2019,590993
Grand Canyon NP,GRCA,National Park,Intermountain ,AZ,2019,5974411
Grand Portage NM,GRPO,National Monument,Midwest ,MN,2019,94985
Grand Teton NP,GRTE,National Park,Intermountain ,WY,2019,3405614
Grant-Kohrs Ranch NHS,GRKO,National Historic Site,Intermountain ,MT,2019,25043
Great Basin NP,GRBA,National Park,Pacific West ,NV,2019,131802
Great Sand Dunes NP & PRES,GRSA,National Park,Intermountain ,CO,2019,527546
Great Smoky Mountains NP,GRSM,National Park,Southeast ,TN,2019,12547743
Greenbelt Park,GREE,Park (Other),National Capital ,MD,2019,128702
Guadalupe Mountains NP,GUMO,National Park,Intermountain ,TX,2019,188833
Guilford Courthouse NMP,GUCO,National Military Park,Southeast ,NC,2019,223900
Gulf Islands NS,GUIS,National Seashore,Southeast ,FL,2019,5600240
Hagerman Fossil Beds NM,HAFO,National Monument,Pacific West ,ID,2019,23768
Haleakala NP,HALE,National Park,Pacific West ,HI,2019,994394
Hamilton Grange NMEM,HAGR,National Memorial,Northeast ,NY,2019,71247
Hampton NHS,HAMP,National Historic Site,Northeast ,MD,2019,28234
Harpers Ferry NHP,HAFE,National Historical Park,National Capital ,WV,2019,299577
Harry S Truman NHS,HSTR,National Historic Site,Midwest ,MO,2019,30746
Hawaii Volcanoes NP,HAVO,National Park,Pacific West ,HI,2019,1368376
Herbert Hoover NHS,HEHO,National Historic Site,Midwest ,IA,2019,125688
Home of Franklin D. Roosevelt NHS,HOFR,National Historic Site,Northeast ,NY,2019,147109
Homestead NM of America,HOME,National Monument,Midwest ,NE,2019,61636
Hopewell Culture NHP,HOCU,National Historical Park,Midwest ,OH,2019,60338
Hopewell Furnace NHS,HOFU,National Historic Site,Northeast ,PA,2019,49861
Horseshoe Bend NMP,HOBE,National Military Park,Southeast ,AL,2019,45372
Hot Springs NP,HOSP,National Park,Midwest ,AR,2019,1467153
Hovenweep NM,HOVE,National Monument,Intermountain ,CO,2019,35399
Hubbell Trading Post NHS,HUTR,National Historic Site,Intermountain ,AZ,2019,50285
Independence NHP,INDE,National Historical Park,Northeast ,PA,2019,4532459
Indiana Dunes NP,INDU,National Park,Midwest ,IN,2019,2134285
Isle Royale NP,ISRO,National Park,Midwest ,MI,2019,26410
